from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
PARA2,1004,2,0,KPL__0__6244__RAIL__Rail_MTuWThF-XHol_20260419,250__0__143__UZM__4022__1__4022__1_20260419
9525,TREN1,2,0,114__0__113__TZM__510__1__510__1_20260419,HVL__1__2637__RAIL__Rail_MTuWThF-XHol_20260419
8251,TAIT1,2,0,120__1__484__TZM__403__2__403__2_20260419,HVL__1__3867__RAIL__Rail_SaSu_+_Hol_20260419
2003,PORI1,2,0,226__0__123__TZM__326__326_20260419,KPL__1__6237__RAIL__Rail_MTuWThF-XHol_20260419
2003,PORI1,2,0,226__0__123__TZM__326__1__326__1_20260419,KPL__1__6237__RAIL__Rail_MTuWThF-XHol_20260419
PORI2,2003,2,0,KPL__0__6416__RAIL__Rail_SaSu_+_Hol_20260419,220__1__404__TZM__307__1__307__1_20260419
3000,3000,2,240,1__0__805__TZM__119__119_20260419,19__0__749__TZM__206__206_20260419
3000,3000,2,240,1__0__805__TZM__119__119_20260419,19__0__749__TZM__206__4__206__4_20260419
1006,PARA1,2,0,261__1__114__UZM__4002__1__4002__1_20260419,KPL__1__6227__RAIL__Rail_MTuWThF-XHol_20260419
PARA2,1005,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol_20260419,261__0__165__UZM__4002__1__4002__1_20260419
3081,3081,2,240,19__0__159__TZM__124__124_20260419,1__1__206__TZM__205__6__205__6_20260419
2003,PORI1,2,0,210__1__104__TZM__312__5__312__5_20260419,KPL__1__8203__RAIL__Rail_MTuWThF-XHol_20260419
6055,6017,2,240,1__1__182__TZM__220__1__220__1_20260419,23__0__117__TZM__109__3__109__3_20260419
TAIT2,9251,2,0,HVL__0__3854__RAIL__Rail_SaSu_+_Hol_20260419,120__0__471__TZM__403__2__403__2_20260419
PARA2,1005,2,0,KPL__0__6344__RAIL__Rail_MTuWThF-XHol_20260419,262__0__147__UZM__4044__1__4044__1_20260419
3081,3081,2,240,19__0__749__TZM__206__206_20260419,1__1__802__TZM__119__119_20260419
3081,3081,2,240,19__0__749__TZM__206__4__206__4_20260419,1__1__802__TZM__119__119_20260419
3081,3081,2,240,19__0__157__TZM__113__3__113__3_20260419,1__1__200__TZM__217__1__217__1_20260419
PETO2,9001,2,0,MEL__0__5604__RAIL__Rail_MEL_WEST_20260419,150__0__107__TZM__413__3__413__3_20260419
PETO2,9001,2,0,HVL__0__2616__RAIL__Rail_MTuWThF-XHol_20260419,150__0__107__TZM__413__3__413__3_20260419
PARA2,1005,2,0,KPL__0__6210__RAIL__Rail_MTuWThF-XHol_20260419,262__0__101__UZM__4005__1__4005__1_20260419
SILV,8416,2,240,HVL__0__3640__RAIL__Rail_MTuWThF-XHol_20260419,115__0__133__TZM__510__1__510__1_20260419
1501,WAIK,2,240,281__0__721__UZM__104__104_20260419,KPL__1__6457__RAIL__Rail_SaSu_+_Hol_20260419
1501,WAIK,2,240,281__0__421__UZM__719__1__719__1_20260419,KPL__1__6457__RAIL__Rail_SaSu_+_Hol_20260419
UPPE,8579,2,240,HVL__0__3858__RAIL__Rail_SaSu_+_Hol_20260419,112__0__423__TZM__502__3__502__3_20260419
8251,TAIT1,2,0,120__1__728__TZM__407__1__407__1_20260419,HVL__1__3845__RAIL__Rail_SaSu_+_Hol_20260419
WATE2,9140,2,0,HVL__0__2640__RAIL__Rail_MTuWThF-XHol_20260419,160__0__123__TZM__606__606_20260419
9001,PETO1,2,0,154__0__105__TZM__404__6__404__6_20260419,HVL__1__4603__RAIL__Rail_MTuWThF-XHol_20260419
2002,PORI1,2,0,236__1__400__TZM__302__3__302__3_20260419,KPL__1__6411__RAIL__Rail_SaSu_+_Hol_20260419
3935,LIND,2,240,59__1__114__MNM__5022__1__5022__1_20260419,KPL__1__6311__RAIL__Rail_MTuWThF-XHol_20260419
1006,PARA1,2,0,250__0__141__UZM__4034__1__4034__1_20260419,KPL__1__6335__RAIL__Rail_MTuWThF-XHol_20260419
8165,WATE1,2,0,130__1__170__TZM__439__1__439__1_20260419,HVL__1__3619__RAIL__Rail_MTuWThF-XHol_20260419
PARA2,1004,2,0,KPL__0__6420__RAIL__Rail_SaSu_+_Hol_20260419,250__0__405__UZM__710__1__710__1_20260419
2003,PORI1,2,0,226__0__449__TZM__303__4__303__4_20260419,KPL__1__6457__RAIL__Rail_SaSu_+_Hol_20260419
TAIT2,9251,2,0,HVL__0__3606__RAIL__Rail_MTuWThF-XHol_20260419,120__0__153__TZM__424__424_20260419
