stop_pattern_id,stop_id,stop_sequence,timepoint
110_0_20260419,9461,40,0
110_0_20260419,9462,41,1
110_0_20260419,9463,42,0
110_0_20260419,9464,43,0
110_0_20260419,9465,44,0
110_0_20260419,9466,45,0
110_0_20260419,9567,46,0
110_0_20260419,9568,47,0
110_0_20260419,9569,48,0
110_0_20260419,9570,49,0
110_0_20260419,9571,50,0
110_0_20260419,9572,51,0
110_0_20260419,9573,52,0
110_0_20260419,9574,53,0
110_0_20260419,9575,54,0
110_0_20260419,9576,55,0
110_0_20260419,8579,56,1
110_0_20260419,9582,57,0
110_0_20260419,9583,58,0
110_0_20260419,9584,59,0
110_0_20260419,9585,60,0
110_0_20260419,9586,61,0
110_0_20260419,9587,62,0
110_0_20260419,9688,63,0
110_0_20260419,9689,64,0
110_0_20260419,9690,65,0
110_0_20260419,9691,66,0
110_0_20260419,9692,67,0
110_0_20260419,9693,68,0
110_0_20260419,9694,69,0
110_0_20260419,9601,70,0
110_0_20260419,9602,71,0
110_0_20260419,9604,72,0
110_0_20260419,9605,73,1
860_1_20260419,8985,0,1
860_1_20260419,8984,1,0
860_1_20260419,8983,2,0
860_1_20260419,8982,3,0
860_1_20260419,8981,4,0
860_1_20260419,8980,5,0
860_1_20260419,8979,6,0
860_1_20260419,8978,7,0
860_1_20260419,8977,8,0
860_1_20260419,9967,9,0
860_1_20260419,9968,10,0
860_1_20260419,9969,11,0
860_1_20260419,9970,12,0
860_1_20260419,8971,13,0
860_1_20260419,8970,14,0
860_1_20260419,8969,15,0
860_1_20260419,8968,16,0
860_1_20260419,8967,17,0
860_1_20260419,8966,18,0
860_1_20260419,8965,19,0
860_1_20260419,8964,20,0
860_1_20260419,8963,21,0
860_1_20260419,8962,22,0
860_1_20260419,8961,23,0
860_1_20260419,8960,24,0
860_1_20260419,8973,25,0
860_1_20260419,8959,26,0
860_1_20260419,9954,27,0
860_1_20260419,9955,28,0
860_1_20260419,9956,29,0
860_1_20260419,9957,30,0
860_1_20260419,8952,31,0
860_1_20260419,8748,32,0
860_1_20260419,8147,33,0
860_1_20260419,8146,34,0
860_1_20260419,9157,35,0
860_1_20260419,9158,36,0
860_1_20260419,9199,37,1
860_1_20260419,9197,38,1
860_1_20260419,9136,39,1
110_1_20260419,9605,0,1
110_1_20260419,8604,1,0
110_1_20260419,8602,2,0
110_1_20260419,8601,3,0
110_1_20260419,8694,4,0
110_1_20260419,8693,5,0
110_1_20260419,8692,6,0
110_1_20260419,8691,7,0
110_1_20260419,8690,8,0
110_1_20260419,8689,9,0
110_1_20260419,8588,10,0
110_1_20260419,8587,11,0
110_1_20260419,8586,12,0
110_1_20260419,8585,13,0
110_1_20260419,8584,14,0
110_1_20260419,8582,15,0
110_1_20260419,8580,16,1
110_1_20260419,8576,17,0
110_1_20260419,8575,18,0
110_1_20260419,8573,19,0
110_1_20260419,8572,20,0
110_1_20260419,8571,21,0
110_1_20260419,8570,22,0
110_1_20260419,8569,23,0
110_1_20260419,8568,24,0
110_1_20260419,8467,25,0
110_1_20260419,8466,26,0
110_1_20260419,8465,27,0
110_1_20260419,8464,28,0
110_1_20260419,8463,29,0
110_1_20260419,8462,30,1
110_1_20260419,8361,31,0
36_1_20260419,7334,3,0
36_1_20260419,7332,4,0
36_1_20260419,7330,5,0
36_1_20260419,7328,6,0
36_1_20260419,7327,7,0
36_1_20260419,7224,8,1
36_1_20260419,7223,9,0
36_1_20260419,7222,10,0
36_1_20260419,7221,11,0
36_1_20260419,7220,12,0
36_1_20260419,7219,13,0
36_1_20260419,7218,14,0
36_1_20260419,7217,15,1
36_1_20260419,7216,16,0
36_1_20260419,7215,17,0
36_1_20260419,7214,18,0
36_1_20260419,7213,19,0
36_1_20260419,7212,20,0
36_1_20260419,5000,21,1
36_1_20260419,5002,22,0
36_1_20260419,5515,23,0
36_1_20260419,5006,24,0
36_1_20260419,5008,25,0
36_1_20260419,5010,26,0
36_1_20260419,5012,27,0
36_1_20260419,5011,28,0
36_1_20260419,5016,29,1
59_1_20260419,3699,0,1
59_1_20260419,3698,1,0
59_1_20260419,3697,2,0
59_1_20260419,3696,3,0
59_1_20260419,3695,4,0
59_1_20260419,3694,5,0
59_1_20260419,3692,6,0
59_1_20260419,3691,7,0
59_1_20260419,3690,8,0
59_1_20260419,3935,9,1
59_1_20260419,3688,10,0
59_1_20260419,3687,11,0
59_1_20260419,3686,12,0
59_1_20260419,3684,13,0
59_1_20260419,3682,14,0
59_1_20260419,3681,15,0
59_1_20260419,3680,16,0
59_1_20260419,3679,17,0
59_1_20260419,3677,18,0
59_1_20260419,3676,19,0
59_1_20260419,3956,20,1
59_1_20260419,3672,21,0
59_1_20260419,3670,22,0
59_1_20260419,3669,23,0
59_1_20260419,3666,24,0
59_1_20260419,3664,25,0
59_1_20260419,3663,26,0
59_1_20260419,3662,27,0
59_1_20260419,3660,28,0
59_1_20260419,3658,29,0
59_1_20260419,3962,30,0
59_1_20260419,3951,31,1
59_1_20260419,3556,32,1
59_1_20260419,3656,33,0
59_1_20260419,3913,34,0
59_1_20260419,3655,35,0
59_1_20260419,3917,36,0
59_1_20260419,3915,37,1
712_1_20260419,7247,0,1
712_1_20260419,7246,1,0
712_1_20260419,7245,2,0
712_1_20260419,7244,3,0
712_1_20260419,7242,4,0
712_1_20260419,7241,5,1
